"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"50","Grasim Industries Limited","GRASIM","P&F | F.A","0.68%","2726.3","2,78,085"
"89","Astral Poly Technik Limited","ASTRAL","P&F | F.A","0.68%","1531","1,59,668"
"4","Bosch Limited","BOSCHLTD","P&F | F.A","0.62%","31740","3,084"
"115","Zydus Lifesciences Ltd","ZYDUSLIFE","P&F | F.A","0.61%","987.75","2,87,078"
"87","Havells India Limited","HAVELLS","P&F | F.A","0.57%","1578.5","98,738"
"142","Icici Prudential Life Insurance Company Limited","ICICIPRULI","P&F | F.A","0.55%","641.05","1,51,775"
"157","Vedanta Limited","VEDL","P&F | F.A","0.55%","464.1","27,29,296"
"97","Icici Bank Limited","ICICIBANK","P&F | F.A","0.54%","1430.6","17,37,936"
"153","Dabur India Limited","DABUR","P&F | F.A","0.54%","492.2","3,67,864"
"179","Mahindra & Mahindra Financial Services Limited","M&MFIN","P&F | F.A","0.53%","282.65","8,69,216"
"79","Hcl Technologies Limited","HCLTECH","P&F | F.A","0.5%","1676.4","4,88,681"
"33","Avenue Supermarts","DMART","P&F | F.A","0.49%","4100","1,39,598"
"147","Ambuja Cements Limited","AMBUJACEM","P&F | F.A","0.49%","563.85","12,47,268"
"146","Chambal Fertilizers & Chemicals Limited","CHAMBLFERT","P&F | F.A","0.47%","567.65","15,44,676"
"140","Syngene International Limited","SYNGENE","P&F | F.A","0.46%","661.2","1,39,250"
"164","Rural Electrification Corporation Limited","RECLTD","P&F | F.A","0.46%","425","40,77,642"
"202","Bandhan Bank Ltd","BANDHANBNK","P&F | F.A","0.45%","181.9","32,51,561"
"70","Apl Apollo Tubes Limited","APLAPOLLO","P&F | F.A","0.44%","1900.5","1,45,646"
"209","Steel Authority Of India Limited","SAIL","P&F | F.A","0.43%","133.5","32,53,524"
"191","Rbl Bank Limited","RBLBANK","P&F | F.A","0.42%","222.8","19,50,399"
"217","GMR Airports Ltd","GMRAIRPORT","P&F | F.A","0.41%","85.43","16,51,778"
"84","Glenmark Pharmaceuticals Limited","GLENMARK","P&F | F.A","0.4%","1622.1","2,04,561"
"11","Bajaj Finance Limited","BAJFINANCE","P&F | F.A","0.39%","9535","3,93,155"
"117","One 97 Communications Ltd","PAYTM","P&F | F.A","0.39%","965.05","9,69,548"
"121","Adani Energy Solutions Ltd","ADANIENSOL","P&F | F.A","0.39%","919.05","13,04,516"
"124","State Bank Of India","SBIN","P&F | F.A","0.38%","820.15","27,04,687"
"34","Pi Industries Limited","PIIND","P&F | F.A","0.37%","3938.9","75,253"
"211","Nbcc (india) Limited","NBCC","P&F | F.A","0.37%","125.24","60,85,891"
"119","Life Insurance Corporation of India","LICI","P&F | F.A","0.36%","950.9","4,02,949"
"166","Tata Power Company Limited","TATAPOWER","P&F | F.A","0.36%","414.7","24,14,447"
"85","Tech Mahindra Limited","TECHM","P&F | F.A","0.34%","1616.4","4,67,171"
"203","Cesc Limited","CESC","P&F | F.A","0.33%","171.86","9,66,950"
"22","Britannia Industries Limited","BRITANNIA","P&F | F.A","0.32%","5685","44,225"
"81","Prestige Estates Projects Limited","PRESTIGE","P&F | F.A","0.31%","1668.7","2,47,948"
"6","NIFTY","NIFTY","P&F | F.A","0.29%","25176.25","0"
"125","Container Corporation Of India Limited","CONCOR","P&F | F.A","0.29%","802.25","2,12,503"
"180","Manappuram Finance Limited","MANAPPURAM","P&F | F.A","0.29%","266.11","32,96,250"
